Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=100
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=128
EVALUATE_EVERY=100
FILTER_SIZES=3,4,5
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NEGATIVE_DATA_FILE=./data/rt-polaritydata/rt-polarity.neg
NUM_CHECKPOINTS=5
NUM_EPOCHS=200
NUM_FILTERS=128
POSITIVE_DATA_FILE=./data/rt-polaritydata/rt-polarity.pos

Loading data...
2018-07-27 14:51:10.724443: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
Vocabulary Size: 4135
Train/Dev split: 267/29
Writing to /Users/marcpepperman/Desktop/DeepLearning_ICP_CS490/DL Lab 2 Team 24/DL_Lab_2_1/runs/1532721071
2018-07-27T15:03:04.724477: step 209, loss 0.0948648, acc 0.953125
2018-07-27T15:03:05.395651: step 210, loss 0.0966877, acc 0.909091
2018-07-27T15:03:09.500900: step 211, loss 0.248571, acc 0.90625
2018-07-27T15:03:13.302295: step 212, loss 0.0999913, acc 0.953125
2018-07-27T15:03:17.780812: step 213, loss 0.158212, acc 0.9375
2018-07-27T15:03:22.038925: step 214, loss 0.0770983, acc 0.96875
2018-07-27T15:03:22.914270: step 215, loss 0.150127, acc 0.909091
2018-07-27T15:03:27.132923: step 216, loss 0.271981, acc 0.90625
2018-07-27T15:03:31.483587: step 217, loss 0.27114, acc 0.890625
2018-07-27T15:03:35.431776: step 218, loss 0.0262271, acc 1
2018-07-27T15:03:39.423379: step 219, loss 0.137611, acc 0.9375
2018-07-27T15:03:40.113407: step 220, loss 0.0396156, acc 1
2018-07-27T15:03:44.338420: step 221, loss 0.201497, acc 0.953125
2018-07-27T15:03:49.603984: step 222, loss 0.0413097, acc 0.984375
2018-07-27T15:03:54.744193: step 223, loss 0.062343, acc 0.96875
2018-07-27T15:03:58.711487: step 224, loss 0.0854628, acc 0.96875
2018-07-27T15:03:59.558283: step 225, loss 0.137833, acc 0.909091
2018-07-27T15:04:04.072542: step 226, loss 0.227803, acc 0.9375
2018-07-27T15:04:08.158165: step 227, loss 0.0407432, acc 0.96875
2018-07-27T15:04:11.888342: step 228, loss 0.152251, acc 0.96875
2018-07-27T15:04:15.860464: step 229, loss 0.156844, acc 0.9375
2018-07-27T15:04:16.542210: step 230, loss 0.0389836, acc 1
2018-07-27T15:04:20.645958: step 231, loss 0.0728593, acc 0.984375
2018-07-27T15:04:24.635530: step 232, loss 0.118139, acc 0.953125
2018-07-27T15:04:28.650837: step 233, loss 0.13894, acc 0.953125
2018-07-27T15:04:32.403397: step 234, loss 0.142499, acc 0.953125
2018-07-27T15:04:33.091144: step 235, loss 0.0822912, acc 0.909091
2018-07-27T15:04:37.074569: step 236, loss 0.141813, acc 0.953125
2018-07-27T15:04:41.108642: step 237, loss 0.059074, acc 0.96875
2018-07-27T15:04:45.106635: step 238, loss 0.0583627, acc 0.96875
2018-07-27T15:04:49.365191: step 239, loss 0.150604, acc 0.953125
2018-07-27T15:04:50.050326: step 240, loss 0.0130386, acc 1
2018-07-27T15:04:54.076072: step 241, loss 0.343188, acc 0.921875
2018-07-27T15:04:59.583916: step 242, loss 0.0405328, acc 0.984375
2018-07-27T15:05:04.502806: step 243, loss 0.0452673, acc 0.984375
2018-07-27T15:05:08.985150: step 244, loss 0.0648318, acc 0.984375
2018-07-27T15:05:09.754541: step 245, loss 0.0364584, acc 1
2018-07-27T15:05:13.831791: step 246, loss 0.186819, acc 0.9375
2018-07-27T15:05:17.773808: step 247, loss 0.116395, acc 0.953125
2018-07-27T15:05:21.909897: step 248, loss 0.022497, acc 1
2018-07-27T15:05:26.089708: step 249, loss 0.0917366, acc 0.953125
2018-07-27T15:05:27.049719: step 250, loss 0.0742986, acc 1
2018-07-27T15:05:32.371968: step 251, loss 0.165514, acc 0.96875
2018-07-27T15:05:36.631170: step 252, loss 0.103993, acc 0.953125
2018-07-27T15:05:40.688236: step 253, loss 0.111983, acc 0.96875
2018-07-27T15:05:44.502389: step 254, loss 0.114084, acc 0.953125
2018-07-27T15:05:45.178487: step 255, loss 0.162402, acc 0.909091
2018-07-27T15:05:49.290803: step 256, loss 0.202514, acc 0.9375
2018-07-27T15:05:53.381848: step 257, loss 0.136976, acc 0.921875
2018-07-27T15:05:57.467138: step 258, loss 0.071325, acc 0.9375
2018-07-27T15:06:01.496311: step 259, loss 0.0824696, acc 0.96875
2018-07-27T15:06:02.162464: step 260, loss 0.302378, acc 0.909091
2018-07-27T15:06:06.384029: step 261, loss 0.207774, acc 0.9375
2018-07-27T15:06:10.644533: step 262, loss 0.131764, acc 0.9375
2018-07-27T15:06:15.506491: step 263, loss 0.0785512, acc 0.96875
2018-07-27T15:06:20.443628: step 264, loss 0.105817, acc 0.953125
2018-07-27T15:06:21.469250: step 265, loss 0.0128234, acc 1
2018-07-27T15:06:26.103810: step 266, loss 0.0627651, acc 0.96875
2018-07-27T15:06:30.380206: step 267, loss 0.100659, acc 0.953125
2018-07-27T15:06:34.547844: step 268, loss 0.0720901, acc 0.953125
2018-07-27T15:06:38.804419: step 269, loss 0.17148, acc 0.9375
2018-07-27T15:06:39.592268: step 270, loss 0.0315228, acc 1
2018-07-27T15:06:43.358586: step 271, loss 0.0612529, acc 0.96875
2018-07-27T15:06:47.387861: step 272, loss 0.0370662, acc 1
2018-07-27T15:06:51.499374: step 273, loss 0.0690971, acc 0.984375
2018-07-27T15:06:55.437361: step 274, loss 0.0814582, acc 0.9375
2018-07-27T15:06:56.261878: step 275, loss 0.0010177, acc 1
2018-07-27T15:07:00.602143: step 276, loss 0.131066, acc 0.953125
2018-07-27T15:07:04.421408: step 277, loss 0.28783, acc 0.921875
2018-07-27T15:07:08.517784: step 278, loss 0.111257, acc 0.953125
2018-07-27T15:07:12.767218: step 279, loss 0.0534609, acc 0.96875
2018-07-27T15:07:13.450187: step 280, loss 0.00116843, acc 1
2018-07-27T15:07:17.311720: step 281, loss 0.207386, acc 0.9375
2018-07-27T15:07:20.966460: step 282, loss 0.130136, acc 0.953125
2018-07-27T15:07:25.010224: step 283, loss 0.0993548, acc 0.96875
2018-07-27T15:07:28.809447: step 284, loss 0.116023, acc 0.953125
2018-07-27T15:07:29.458558: step 285, loss 0.0137153, acc 1
2018-07-27T15:07:33.365201: step 286, loss 0.0794414, acc 0.953125
2018-07-27T15:07:37.271951: step 287, loss 0.0555276, acc 0.96875
2018-07-27T15:07:40.897433: step 288, loss 0.172194, acc 0.953125
2018-07-27T15:07:44.903665: step 289, loss 0.123194, acc 0.953125
2018-07-27T15:07:45.577035: step 290, loss 0.207059, acc 0.909091
2018-07-27T15:07:49.772290: step 291, loss 0.116511, acc 0.953125
2018-07-27T15:07:53.865606: step 292, loss 0.0913584, acc 0.984375
2018-07-27T15:07:58.418423: step 293, loss 0.0193218, acc 0.984375
2018-07-27T15:08:02.894145: step 294, loss 0.170341, acc 0.9375
2018-07-27T15:08:03.762252: step 295, loss 0.00174676, acc 1
2018-07-27T15:08:08.378319: step 296, loss 0.105717, acc 0.984375
2018-07-27T15:08:12.398258: step 297, loss 0.0797236, acc 0.984375
2018-07-27T15:08:16.317144: step 298, loss 0.158658, acc 0.9375
2018-07-27T15:08:20.210522: step 299, loss 0.268913, acc 0.9375
2018-07-27T15:08:21.067418: step 300, loss 0.0799903, acc 1

Evaluation:
2018-07-27T15:08:21.763607: step 300, loss 0.918991, acc 0.413793
